molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL601618,0,15000.0,nM,CHEMBL364,CHEMBL730080,COc1ccc2c(c1OC)C(=O)N1c3ccccc3N=C(c3ccc([N+](=O)[O-])cc3)CC21
CHEMBL4098710,1,34.0,nM,CHEMBL364,CHEMBL3994339,CC(C)c1ccc(C2CC(c3ccc(O)cc3)=NN2C(=O)c2cccnc2)cc1
CHEMBL546732,1,567.0,nM,CHEMBL364,CHEMBL1054503,CCOc1ccc(N2CCN(CCCCNC(=O)c3ccc(NC(=O)c4ccc(Cl)cc4)cc3)CC2)c(OCC)c1
CHEMBL603046,1,309.6,nM,CHEMBL364,CHEMBL1040692,O=C1CC(c2ccccc2)CC2=C1C(c1cc(F)ccc1F)Nc1ccccc1N2
CHEMBL579239,1,256.0,nM,CHEMBL364,CHEMBL1047861,COc1ccc2c(c1)C(=O)C(c1ccc(C(C)=O)cc1)=[N+]2[O-]
CHEMBL4465599,1,80.0,nM,CHEMBL364,CHEMBL4368151,CC(C)=C[C@H]1C[C@](C)(/C=C/c2[nH]c3ccccc3c2CCN(C)C)n2c1c(CCN(C)C)c1ccccc12
CHEMBL3218529,0,53000.0,nM,CHEMBL364,CHEMBL3222707,O=C(NCC(c1ccccc1)c1ccccc1)c1cc(CO)ccc1O
CHEMBL463007,0,50000.0,nM,CHEMBL364,CHEMBL978458,CC[C@H](O)CC(=O)NCCc1ccc(O)cc1
CHEMBL533994,1,50.4,nM,CHEMBL364,CHEMBL1040692,COc1cccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)c1O.O=C(O)C(=O)O.O=C(O)C(=O)O.O=C(O)C(=O)O
CHEMBL3084846,1,10.02,nM,CHEMBL364,CHEMBL765668,CNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCCCC1C)OO5
CHEMBL425908,0,10000.0,nM,CHEMBL364,CHEMBL833197,COc1ccc(NC(=O)Nc2ccc(C(=O)/C=C/c3ccc4c(c3)OCO4)cc2)cc1
CHEMBL588705,1,910.18,nM,CHEMBL364,CHEMBL1054503,N#Cc1ccc(-c2ccc(C(=O)NCCCCN3CCC(n4cnc5ccccc54)CC3)cc2)cc1
CHEMBL4212141,0,25000.0,nM,CHEMBL364,CHEMBL4179070,CC(CCc1ccccc1)NC(=O)CSc1nc2sc3c(c2c(=O)n1CCc1ccccc1)CC(C(C)C)OC3
CHEMBL1255747,0,15848.93,nM,CHEMBL364,CHEMBL1267245,Br.CCCN(CCC)CCc1ccc(O)c(O)c1
CHEMBL1784568,0,10000.0,nM,CHEMBL364,CHEMBL1785544,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)n2ncnc2n1
CHEMBL600235,1,771.12,nM,CHEMBL364,CHEMBL3137362,Oc1c(CN2CCN(c3ccccc3F)CC2)cc(Br)c2cccnc12
CHEMBL4163274,1,940.0,nM,CHEMBL364,CHEMBL5226195,CC[C@@H](C)[C@H]1NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([C@H](C)CC)NC1=O
CHEMBL4173648,1,58.7,nM,CHEMBL364,CHEMBL4131979,COc1ccc(C2CC(c3ccc(OCc4cn(CCNc5ccnc6cc(Cl)ccc56)nn4)c(OC)c3)=NN2C(C)=O)cc1
CHEMBL2030340,1,1000.0,nM,CHEMBL364,CHEMBL2033120,Cc1c(-c2ccc(OCCN3CCCCC3)cc2)[nH]c2ccccc2c1=O
CHEMBL5421484,1,810.0,nM,CHEMBL364,CHEMBL5339221,CCC(C)[C@H](c1nc2ccccc2n1Cc1cn(Cc2ccccc2)nn1)N1C(=O)c2ccccc2C1=O
CHEMBL4644974,1,47.0,nM,CHEMBL364,CHEMBL4605392,CCCNC(=O)c1[nH]c(C)c(Cc2ccc(C(F)(F)F)nc2)c1C
CHEMBL527264,1,906.48,nM,CHEMBL364,CHEMBL1054503,Cc1cc(N[C@@H](CC(C)C)C(=O)NCCc2ccccc2)nc(NCc2ccccc2C)n1.O=C(O)C(F)(F)F
CHEMBL3401313,1,20.0,nM,CHEMBL364,CHEMBL3405488,CCN(CC)CCCC(C)Nc1cc(Cl)cc2nc3c4ccccc4n(CCN4CCCC4)c3cc12
CHEMBL590706,0,13212.0,nM,CHEMBL364,CHEMBL1038868,CCCCCCCn1ccc(=N)cc1.I
CHEMBL270726,1,109.0,nM,CHEMBL364,CHEMBL1040691,CN(C)c1ccc(/C=C2/SC(=Nc3ccccc3)NC2=O)cc1
CHEMBL137166,0,25800.0,nM,CHEMBL364,CHEMBL880957,Cc1cccc(/C=C/C(=O)c2ccc(O)cc2)c1
